OBJECTID_12,Spring w Flow,OID_,DEQ_NUMBER,SINGLE_MULTIPLE_TREND,LATNAD83DD,LONGNAD83D,DATE_MEASURED,TIME_MEASURED,DISCHARGE_METHOD,METER_TYPE,DATA_SOURCE,DISCHARGE_GPM,DISCHARGE_CFS,MGD,Temp_Water_C,Temp_Air_C,SPECIFIC_CONDUCTIVITY_uS_cm_C,CONDUCTIVITY_uS_cm,TDS_g_L,Salinity_ppt,DO_Conc_mg_L,pH,Acid_Neutralizing_Capacity_mg_L_Field_Titration,Bicarbonate_mg_L_Field_Titration,Carbonate_mg_L_Field_Titration,Chloride_Filtered_mg_L,FIELD_COMMENTS,OBJECTID_1,OBJECTID,DEQ_NUMBER_sites,SPRING_NAME,USGS_SITE_ID,VWUDS_MPID,OTHER_ID,SITE_COMMENTS,DATE_INVENTORIED_INITIAL,NUMBER_OF_OPENINGS,ALTITUDE_FT_AMSL,NED_10M_PROJECTED_ELEVATION_FT_AMSL,LATITUDE_NAD83_DMS,LONGITUDE_NAD83_DMS,LATNAD83DD_sites,LONGNAD83DD_sites,Site_Photo_Field_Notes,COUNTY,TOPO_SETTING,NATIONAL_WATER_USE,IMPROVEMENTS,SPHERE_OF_DISCHARGE,OWNER,DATA_COLLECTOR,HDATUM,LATLONGSOURCE,QUAD_NAME,GENERAL_LITHOLOGY,USGS_500K_GEOL_LABEL,USGS_500K_GEOLOGY,USGS_500K_GEOL_UNIT_LINK,USGS_500K_GEOL_AGE,USGS_500K_GEOL_ROCKTYPE1,USGS_500K_GEOL_ROCKTYPE2,USGS_500K_GEOL_FORMATION_NAME,USGS_500K_GEOL_FORMATION_PERIOD,MAJOR_BASIN_NAME,BASIN_NAME,BASIN_CODE,USGS_HUC_CODE,HUC_NAME,HUC_DRAIN,VDOF_LAND_USE,PROVINCE,PROVINCE_SECTION
5,1,1136,101-00852,SINGLE,38.21457579,-78.7430783,8/7/1985,,ESTIMATED,,SWCB,4,0.01,0.01,10,-9999,13,-9999,-9999,-9999,-9999,5.75,-9999,-9999,-9999,-9999,,1193,8,101-00852,BLACKROCK SPRING,,,DGIF: 4,USED BY HIKERS ALONG APPALACHIAN TRAIL.  LOCATION COULD NOT BE VERIFIED USING VGIN IMAGERY.,0,0,0,2642,381252.4728,784435.0819,38.21457579,-78.7430783,YES,ALBEMARLE,,NOT USED,,,"SHENANDOAH NATIONAL PARK, ,",SWCB,NAD27,MAP,BROWNS COVE,SILICICLASTIC,[ch,[ch,VACAch;0,Cambrian,quartzite,conglomerate,Chilhowee Group,Cambrian,James River Basin,Middle James River and Appomattox River Subbasin,2B,2080204,MOORMANS RIVER,H,Hardwood Forest,BLUE RIDGE,NORTHERN
30,12,3466,102-00116,TREND,37.86932945,-79.93363616,2/10/1953,,,,VDWR,5834.4,13,8.40,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
31,12,3469,102-00116,TREND,37.86932945,-79.93363616,5/26/1953,,,,VDWR,5744.64,12.8,8.27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
32,12,3491,102-00116,TREND,37.86932945,-79.93363616,5/24/1955,,,,VDWR,5206.08,11.6,7.50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
33,12,3465,102-00116,TREND,37.86932945,-79.93363616,1/6/1953,,,,VDWR,4169.35,9.29,6.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
34,12,3492,102-00116,TREND,37.86932945,-79.93363616,6/15/1955,,,,VDWR,4102.03,9.14,5.91,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
35,12,3494,102-00116,TREND,37.86932945,-79.93363616,8/23/1955,,,,VDWR,3572.45,7.96,5.14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
36,12,3464,102-00116,TREND,37.86932945,-79.93363616,12/10/1952,,,,VDWR,3307.66,7.37,4.76,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
37,12,3486,102-00116,TREND,37.86932945,-79.93363616,11/3/1954,,,,VDWR,3303.17,7.36,4.76,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
38,12,3463,102-00116,TREND,37.86932945,-79.93363616,11/20/1952,,,,VDWR,3173.02,7.07,4.57,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
39,12,3481,102-00116,TREND,37.86932945,-79.93363616,6/9/1954,,,,VDWR,3137.11,6.99,4.52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
40,12,3493,102-00116,TREND,37.86932945,-79.93363616,7/20/1955,,,,VDWR,3083.26,6.87,4.44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
41,12,3475,102-00116,TREND,37.86932945,-79.93363616,12/8/1953,,,,VDWR,2890.27,6.44,4.16,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
42,12,3495,102-00116,TREND,37.86932945,-79.93363616,9/15/1955,,,,VDWR,2876.81,6.41,4.14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
43,12,3470,102-00116,TREND,37.86932945,-79.93363616,7/10/1953,,,,VDWR,2800.51,6.24,4.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
44,12,3477,102-00116,TREND,37.86932945,-79.93363616,2/16/1954,,,,VDWR,2719.73,6.06,3.92,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
45,12,3471,102-00116,TREND,37.86932945,-79.93363616,8/5/1953,,,,VDWR,2683.82,5.98,3.86,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
46,12,3482,102-00116,TREND,37.86932945,-79.93363616,7/13/1954,,,,VDWR,2652.41,5.91,3.82,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
47,12,3476,102-00116,TREND,37.86932945,-79.93363616,1/5/1954,,,,VDWR,2576.11,5.74,3.71,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
48,12,3483,102-00116,TREND,37.86932945,-79.93363616,8/11/1954,,,,VDWR,2531.23,5.64,3.64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
49,12,3462,102-00116,TREND,37.86932945,-79.93363616,10/14/1952,,,,VDWR,2378.64,5.3,3.43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
50,12,3472,102-00116,TREND,37.86932945,-79.93363616,9/9/1953,,,,VDWR,2369.66,5.28,3.41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
51,12,3473,102-00116,TREND,37.86932945,-79.93363616,10/6/1953,,,,VDWR,2208.1,4.92,3.18,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
52,12,3474,102-00116,TREND,37.86932945,-79.93363616,11/17/1953,,,,VDWR,2208.1,4.92,3.18,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
53,12,3484,102-00116,TREND,37.86932945,-79.93363616,9/15/1954,,,,VDWR,2091.41,4.66,3.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
54,12,3485,102-00116,TREND,37.86932945,-79.93363616,10/6/1954,,,,VDWR,2068.97,4.61,2.98,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,8,20,102-00116,FALLING SPRINGS,,,COLLINS ET AL. 1930:  287,"LAT/LONG FROM SURFACE WATER SUPPLY OF VIRGINIA, JAMES RIVER BASIN 1942-1950 BULLETIN NO 13.  LAT/LONG PPDGPS at main spring open",0,2,0,2192,375209.586,795601.0902,37.86932945,-79.93363616,YES,ALLEGHANY,HILLSIDE,NOT USED,OTHER -DAM,SUBAERIAL,"unknown, ,",DEQ,WGS84,PPGPS,COVINGTON,CARBONATE,Ols,Ols,VAOls;0,Ordovician,shale,mudstone,"Mocassin Formation, Bays Formation, Unit C, Unit B, Unit A",Ordovician,James River Basin,Upper James River Subbasin,2A,2080201,JACKSON RIVER/FALLING SPRING CREEK,I,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
